Location,Age,Sex,Cause of death or injury,Measure,Value,Categoría
Global,All ages,Both,Measles,Deaths annual % change 2010-2017,"-0,135057925",Enfermedades Infecciosas
Global,All ages,Both,Varicella and herpes zoster,Percent of total deaths 2017,"0,000278669",Enfermedades Infecciosas
Global,All ages,Both,Varicella and herpes zoster,Deaths annual % change 2010-2017,"-0,031183622",Enfermedades Infecciosas
Global,All ages,Both,Malaria,Percent of total deaths 2017,"0,011078340",Enfermedades Infecciosas
Global,All ages,Both,Malaria,Deaths annual % change 2010-2017,"-0,045183258",Enfermedades Infecciosas
Global,All ages,Both,Chagas disease,Percent of total deaths 2017,"0,000140372",Enfermedades Infecciosas
Global,All ages,Both,Chagas disease,Deaths annual % change 2010-2017,"-0,014737055",Enfermedades Infecciosas
Global,All ages,Both,Leishmaniasis,Percent of total deaths 2017,"0,000134563",Enfermedades Infecciosas
Global,All ages,Both,Leishmaniasis,Deaths annual % change 2010-2017,"-0,106656618",Enfermedades Infecciosas
Global,All ages,Both,African trypanosomiasis,Percent of total deaths 2017,"2,439333731e-05",Enfermedades Infecciosas
Global,All ages,Both,African trypanosomiasis,Deaths annual % change 2010-2017,"-0,181241213",Enfermedades Infecciosas
Global,All ages,Both,Schistosomiasis,Percent of total deaths 2017,"0,000157950",Enfermedades Infecciosas
Global,All ages,Both,Schistosomiasis,Deaths annual % change 2010-2017,"-0,030637965",Enfermedades Infecciosas
Global,All ages,Both,Cysticercosis,Percent of total deaths 2017,"1,339082388e-05",Enfermedades Infecciosas
Global,All ages,Both,Cysticercosis,Deaths annual % change 2010-2017,"-0,036320894",Enfermedades Infecciosas
Global,All ages,Both,Cystic echinococcosis,Percent of total deaths 2017,"2,138606245e-05",Enfermedades Infecciosas
Global,All ages,Both,Cystic echinococcosis,Deaths annual % change 2010-2017,"-0,051199381",Enfermedades Infecciosas
Global,All ages,Both,Lymphatic filariasis,Percent of total deaths 2017,0,Enfermedades Infecciosas
Global,All ages,Both,Lymphatic filariasis,Deaths annual % change 2010-2017,0,Enfermedades Infecciosas
Global,All ages,Both,Onchocerciasis,Percent of total deaths 2017,0,Enfermedades Infecciosas
Global,All ages,Both,Onchocerciasis,Deaths annual % change 2010-2017,0,Enfermedades Infecciosas
Global,All ages,Both,Trachoma,Percent of total deaths 2017,0,Enfermedades Infecciosas
Global,All ages,Both,Trachoma,Deaths annual % change 2010-2017,0,Enfermedades Infecciosas
Global,All ages,Both,Dengue,Percent of total deaths 2017,"0,000723339",Enfermedades Infecciosas
Global,All ages,Both,Dengue,Deaths annual % change 2010-2017,"0,036266847",Enfermedades Infecciosas
Global,All ages,Both,Yellow fever,Percent of total deaths 2017,"8,554714704e-05",Enfermedades Infecciosas
Global,All ages,Both,Yellow fever,Deaths annual % change 2010-2017,"-0,038747964",Enfermedades Infecciosas
Global,All ages,Both,Rabies,Percent of total deaths 2017,"0,000208385",Enfermedades Infecciosas
Global,All ages,Both,Rabies,Deaths annual % change 2010-2017,"-0,081999370",Enfermedades Infecciosas
Global,All ages,Both,Intestinal nematode infections,Percent of total deaths 2017,"5,730082699e-05",Enfermedades Infecciosas
Global,All ages,Both,Intestinal nematode infections,Deaths annual % change 2010-2017,"-0,068560738",Enfermedades Infecciosas
Global,All ages,Both,Food-borne trematodiases,Percent of total deaths 2017,0,Enfermedades Infecciosas
Global,All ages,Both,Food-borne trematodiases,Deaths annual % change 2010-2017,0,Enfermedades Infecciosas
Global,All ages,Both,Other neglected tropical diseases,Percent of total deaths 2017,"0,000224517",Enfermedades Infecciosas
Global,All ages,Both,Other neglected tropical diseases,Deaths annual % change 2010-2017,"-0,006857005",Enfermedades Infecciosas
Global,All ages,Both,Maternal disorders,Percent of total deaths 2017,"0,003461065",Enfermedades Crónicas
Global,All ages,Both,Maternal disorders,Deaths annual % change 2010-2017,"-0,031809767",Enfermedades Crónicas
Global,All ages,Both,Neonatal disorders,Percent of total deaths 2017,"0,031883669",Enfermedades Crónicas
Global,All ages,Both,Neonatal disorders,Deaths annual % change 2010-2017,"-0,033578981",Enfermedades Crónicas
Global,All ages,Both,Protein-energy malnutrition,Percent of total deaths 2017,"0,004142785",Enfermedades Crónicas
Global,All ages,Both,Protein-energy malnutrition,Deaths annual % change 2010-2017,"-0,034519061",Enfermedades Crónicas
Global,All ages,Both,Iodine deficiency,Percent of total deaths 2017,0,Enfermedades Endocrinas y Metabólicas
Global,All ages,Both,Iodine deficiency,Deaths annual % change 2010-2017,0,Enfermedades Endocrinas y Metabólicas
Global,All ages,Both,Vitamin A deficiency,Percent of total deaths 2017,0,Enfermedades Crónicas
Global,All ages,Both,Vitamin A deficiency,Deaths annual % change 2010-2017,0,Enfermedades Crónicas
Global,All ages,Both,Dietary iron deficiency,Percent of total deaths 2017,0,Enfermedades Crónicas
Global,All ages,Both,Dietary iron deficiency,Deaths annual % change 2010-2017,0,Enfermedades Crónicas
Global,All ages,Both,Other nutritional deficiencies,Percent of total deaths 2017,"0,000683278",Enfermedades Crónicas
Global,All ages,Both,Other nutritional deficiencies,Deaths annual % change 2010-2017,"-0,013273952",Enfermedades Crónicas
Global,All ages,Both,Sexually transmitted infections excluding HIV,Percent of total deaths 2017,"0,002128562",Enfermedades Infecciosas
Global,All ages,Both,Sexually transmitted infections excluding HIV,Deaths annual % change 2010-2017,"-0,030372487",Enfermedades Infecciosas
Global,All ages,Both,Acute hepatitis,Percent of total deaths 2017,"0,002259180",Enfermedades Infecciosas
Global,All ages,Both,Acute hepatitis,Deaths annual % change 2010-2017,"-0,026626950",Enfermedades Infecciosas
Global,All ages,Both,Leprosy,Percent of total deaths 2017,0,Enfermedades Infecciosas
Global,All ages,Both,Leprosy,Deaths annual % change 2010-2017,0,Enfermedades Infecciosas
Global,All ages,Both,Other unspecified infectious diseases,Percent of total deaths 2017,"0,001416918",Enfermedades Infecciosas
Global,All ages,Both,Other unspecified infectious diseases,Deaths annual % change 2010-2017,"-0,012119896",Enfermedades Infecciosas
Global,All ages,Both,Esophageal cancer,Percent of total deaths 2017,"0,007792472",Cáncer
Global,All ages,Both,Esophageal cancer,Deaths annual % change 2010-2017,"-0,016713527",Cáncer
Global,All ages,Both,Stomach cancer,Percent of total deaths 2017,"0,015461214",Cáncer
Global,All ages,Both,Stomach cancer,Deaths annual % change 2010-2017,"-0,014427292",Cáncer
Global,All ages,Both,Liver cancer,Percent of total deaths 2017,"0,014646817",Cáncer
Global,All ages,Both,Liver cancer,Deaths annual % change 2010-2017,"-0,000299092",Cáncer
Global,All ages,Both,Larynx cancer,Percent of total deaths 2017,"0,002260599",Cáncer
Global,All ages,Both,Larynx cancer,Deaths annual % change 2010-2017,"0,001771476",Cáncer
Global,All ages,Both,"Tracheal, bronchus, and lung cancer",Percent of total deaths 2017,"0,033658852",Cáncer
Global,All ages,Both,"Tracheal, bronchus, and lung cancer",Deaths annual % change 2010-2017,"0,009495951",Cáncer
Global,All ages,Both,Breast cancer,Percent of total deaths 2017,"0,010932407",Cáncer
Global,All ages,Both,Breast cancer,Deaths annual % change 2010-2017,"0,006460104",Cáncer
Global,All ages,Both,Cervical cancer,Percent of total deaths 2017,"0,004641428",Cáncer
Global,All ages,Both,Cervical cancer,Deaths annual % change 2010-2017,"-0,003746792",Cáncer
Global,All ages,Both,Uterine cancer,Percent of total deaths 2017,"0,001523601",Cáncer
Global,All ages,Both,Uterine cancer,Deaths annual % change 2010-2017,"0,003840080",Cáncer
Global,All ages,Both,Prostate cancer,Percent of total deaths 2017,"0,007434264",Cáncer
Global,All ages,Both,Prostate cancer,Deaths annual % change 2010-2017,"0,011418227",Cáncer
Global,All ages,Both,Colon and rectum cancer,Percent of total deaths 2017,"0,016016364",Cáncer
Global,All ages,Both,Colon and rectum cancer,Deaths annual % change 2010-2017,"0,009331637",Cáncer
Global,All ages,Both,Lip and oral cavity cancer,Percent of total deaths 2017,"0,003462202",Cáncer
Global,All ages,Both,Lip and oral cavity cancer,Deaths annual % change 2010-2017,"0,017430735",Cáncer
Global,All ages,Both,Nasopharynx cancer,Percent of total deaths 2017,"0,001243158",Cáncer
Global,All ages,Both,Nasopharynx cancer,Deaths annual % change 2010-2017,"0,003331598",Cáncer
Global,All ages,Both,Other pharynx cancer,Percent of total deaths 2017,"0,002098673",Cáncer
Global,All ages,Both,Other pharynx cancer,Deaths annual % change 2010-2017,"0,022517283",Cáncer
Global,All ages,Both,Gallbladder and biliary tract cancer,Percent of total deaths 2017,"0,003109719",Cáncer
Global,All ages,Both,Gallbladder and biliary tract cancer,Deaths annual % change 2010-2017,"0,008886173",Cáncer
Global,All ages,Both,Pancreatic cancer,Percent of total deaths 2017,"0,007884183",Cáncer
Global,All ages,Both,Pancreatic cancer,Deaths annual % change 2010-2017,"0,021849975",Cáncer
Global,All ages,Both,Malignant skin melanoma,Percent of total deaths 2017,"0,001102255",Cáncer
Global,All ages,Both,Malignant skin melanoma,Deaths annual % change 2010-2017,"0,009297249",Cáncer
Global,All ages,Both,Non-melanoma skin cancer,Percent of total deaths 2017,"0,001163586",Cáncer
Global,All ages,Both,Non-melanoma skin cancer,Deaths annual % change 2010-2017,"0,021832816",Cáncer
Global,All ages,Both,Ovarian cancer,Percent of total deaths 2017,"0,003145590",Cáncer
Global,All ages,Both,Ovarian cancer,Deaths annual % change 2010-2017,"0,007759061",Cáncer
Global,All ages,Both,Testicular cancer,Percent of total deaths 2017,"0,000136950",Cáncer
Global,All ages,Both,Testicular cancer,Deaths annual % change 2010-2017,"-0,003345396",Cáncer
Global,All ages,Both,Kidney cancer,Percent of total deaths 2017,"0,002476116",Cáncer
Global,All ages,Both,Kidney cancer,Deaths annual % change 2010-2017,"0,013492050",Cáncer
Global,All ages,Both,Bladder cancer,Percent of total deaths 2017,"0,003513200",Cáncer
Global,All ages,Both,Bladder cancer,Deaths annual % change 2010-2017,"0,007628679",Cáncer
Global,All ages,Both,Brain and nervous system cancer,Percent of total deaths 2017,"0,004417517",Cáncer
Global,All ages,Both,Brain and nervous system cancer,Deaths annual % change 2010-2017,"0,007731680",Cáncer
Global,All ages,Both,Thyroid cancer,Percent of total deaths 2017,"0,000737055",Cáncer
Global,All ages,Both,Thyroid cancer,Deaths annual % change 2010-2017,"0,016030006",Cáncer
Global,All ages,Both,Mesothelioma,Percent of total deaths 2017,"0,000534608",Cáncer
Global,All ages,Both,Mesothelioma,Deaths annual % change 2010-2017,"0,016915739",Cáncer
Global,All ages,Both,Hodgkin lymphoma,Percent of total deaths 2017,"0,000581974",Cáncer
Global,All ages,Both,Hodgkin lymphoma,Deaths annual % change 2010-2017,"-0,015509434",Cáncer
Global,All ages,Both,Non-Hodgkin lymphoma,Percent of total deaths 2017,"0,004444250",Cáncer
Global,All ages,Both,Non-Hodgkin lymphoma,Deaths annual % change 2010-2017,"0,011960165",Cáncer
Global,All ages,Both,Multiple myeloma,Percent of total deaths 2017,"0,001914622",Cáncer
Global,All ages,Both,Multiple myeloma,Deaths annual % change 2010-2017,"0,012526407",Cáncer
Global,All ages,Both,Leukemia,Percent of total deaths 2017,"0,006212930",Cáncer
Global,All ages,Both,Leukemia,Deaths annual % change 2010-2017,"-0,001804190",Cáncer
Global,All ages,Both,Other malignant neoplasms,Percent of total deaths 2017,"0,006426706",Cáncer
Global,All ages,Both,Other malignant neoplasms,Deaths annual % change 2010-2017,"0,018969038",Cáncer
Global,All ages,Both,Other neoplasms,Percent of total deaths 2017,"0,001839678",Cáncer
Global,All ages,Both,Other neoplasms,Deaths annual % change 2010-2017,"0,018390325",Cáncer
Global,All ages,Both,Rheumatic heart disease,Percent of total deaths 2017,"0,005103490",Enfermedades Crónicas
Global,All ages,Both,Rheumatic heart disease,Deaths annual % change 2010-2017,"-0,017482948",Enfermedades Crónicas
Global,All ages,Both,Ischemic heart disease,Percent of total deaths 2017,"0,159626659",Enfermedades Crónicas
Global,All ages,Both,Ischemic heart disease,Deaths annual % change 2010-2017,"0,003884185",Enfermedades Crónicas
Global,All ages,Both,Stroke,Percent of total deaths 2017,"0,110237083",Enfermedades Crónicas
Global,All ages,Both,Stroke,Deaths annual % change 2010-2017,"-0,006986486",Enfermedades Crónicas
Global,All ages,Both,Hypertensive heart disease,Percent of total deaths 2017,"0,016546050",Enfermedades Crónicas
Global,All ages,Both,Hypertensive heart disease,Deaths annual % change 2010-2017,"0,024205067",Enfermedades Crónicas
Global,All ages,Both,Cardiomyopathy and myocarditis,Percent of total deaths 2017,"0,006587431",Enfermedades Crónicas
Global,All ages,Both,Cardiomyopathy and myocarditis,Deaths annual % change 2010-2017,"-0,010274713",Enfermedades Crónicas
Global,All ages,Both,Atrial fibrillation and flutter,Percent of total deaths 2017,"0,005134375",Enfermedades Crónicas
Global,All ages,Both,Atrial fibrillation and flutter,Deaths annual % change 2010-2017,"0,025084056",Enfermedades Crónicas
Global,All ages,Both,Aortic aneurysm,Percent of total deaths 2017,"0,002989507",Enfermedades Crónicas
Global,All ages,Both,Aortic aneurysm,Deaths annual % change 2010-2017,"-0,000114974",Enfermedades Crónicas
Global,All ages,Both,Peripheral artery disease,Percent of total deaths 2017,"0,001254251",Enfermedades Crónicas
Global,All ages,Both,Peripheral artery disease,Deaths annual % change 2010-2017,"0,032939982",Enfermedades Crónicas
Global,All ages,Both,Endocarditis,Percent of total deaths 2017,"0,001490573",Enfermedades Infecciosas
Global,All ages,Both,Endocarditis,Deaths annual % change 2010-2017,"0,013131089",Enfermedades Infecciosas
Global,All ages,Both,Non-rheumatic valvular heart disease,Percent of total deaths 2017,"0,002589317",Enfermedades Crónicas
Global,All ages,Both,Non-rheumatic valvular heart disease,Deaths annual % change 2010-2017,"0,022130854",Enfermedades Crónicas
Global,All ages,Both,Other cardiovascular and circulatory diseases,Percent of total deaths 2017,"0,006446419",Enfermedades Crónicas
Global,All ages,Both,Other cardiovascular and circulatory diseases,Deaths annual % change 2010-2017,"0,003404575",Enfermedades Crónicas
Global,All ages,Both,Chronic obstructive pulmonary disease,Percent of total deaths 2017,"0,057159165",Enfermedades Crónicas
Global,All ages,Both,Chronic obstructive pulmonary disease,Deaths annual % change 2010-2017,"-0,006544630",Enfermedades Crónicas
Global,All ages,Both,Pneumoconiosis,Percent of total deaths 2017,"0,000385221",Enfermedades Respiratorias
Global,All ages,Both,Pneumoconiosis,Deaths annual % change 2010-2017,"-0,015786505",Enfermedades Respiratorias
Global,All ages,Both,Asthma,Percent of total deaths 2017,"0,008849055",Enfermedades Crónicas
Global,All ages,Both,Asthma,Deaths annual % change 2010-2017,"-0,016235636",Enfermedades Crónicas
Global,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,Percent of total deaths 2017,"0,002639021",Enfermedades Respiratorias
Global,All ages,Both,Interstitial lung disease and pulmonary sarcoidosis,Deaths annual % change 2010-2017,"0,032368454",Enfermedades Respiratorias
Global,All ages,Both,Other chronic respiratory diseases,Percent of total deaths 2017,"0,000932080",Enfermedades Crónicas
Global,All ages,Both,Other chronic respiratory diseases,Deaths annual % change 2010-2017,"0,009141886",Enfermedades Crónicas
Global,All ages,Both,Cirrhosis and other chronic liver diseases,Percent of total deaths 2017,"0,023645461",Enfermedades Digestivas
Global,All ages,Both,Cirrhosis and other chronic liver diseases,Deaths annual % change 2010-2017,"-0,001088756",Enfermedades Digestivas
Global,All ages,Both,Appendicitis,Percent of total deaths 2017,"0,000785480",Enfermedades Digestivas
Global,All ages,Both,Appendicitis,Deaths annual % change 2010-2017,"-0,010037634",Enfermedades Digestivas
Global,All ages,Both,Paralytic ileus and intestinal obstruction,Percent of total deaths 2017,"0,004298632",Enfermedades Digestivas
Global,All ages,Both,Paralytic ileus and intestinal obstruction,Deaths annual % change 2010-2017,"0,005153418",Enfermedades Digestivas
Global,All ages,Both,"Inguinal, femoral, and abdominal hernia",Percent of total deaths 2017,"0,000789295",Enfermedades Crónicas
Global,All ages,Both,"Inguinal, femoral, and abdominal hernia",Deaths annual % change 2010-2017,"0,004618889",Enfermedades Crónicas
Global,All ages,Both,Inflammatory bowel disease,Percent of total deaths 2017,"0,000690470",Enfermedades Digestivas
Global,All ages,Both,Inflammatory bowel disease,Deaths annual % change 2010-2017,"0,003256740",Enfermedades Digestivas
Global,All ages,Both,Vascular intestinal disorders,Percent of total deaths 2017,"0,001716876",Enfermedades Digestivas
Global,All ages,Both,Vascular intestinal disorders,Deaths annual % change 2010-2017,"0,007111251",Enfermedades Digestivas
Global,All ages,Both,Gallbladder and biliary diseases,Percent of total deaths 2017,"0,001975796",Enfermedades Digestivas
Global,All ages,Both,Gallbladder and biliary diseases,Deaths annual % change 2010-2017,"0,007118269",Enfermedades Digestivas
Global,All ages,Both,Pancreatitis,Percent of total deaths 2017,"0,001816380",Enfermedades Digestivas
Global,All ages,Both,Pancreatitis,Deaths annual % change 2010-2017,"0,005030375",Enfermedades Digestivas
Global,All ages,Both,Other digestive diseases,Percent of total deaths 2017,"0,001560060",Enfermedades Digestivas
Global,All ages,Both,Other digestive diseases,Deaths annual % change 2010-2017,"0,004604541",Enfermedades Digestivas
Global,All ages,Both,Alzheimer's disease and other dementias,Percent of total deaths 2017,"0,044947927",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Alzheimer's disease and other dementias,Deaths annual % change 2010-2017,"0,024707331",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Parkinson's disease,Percent of total deaths 2017,"0,006088770",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Parkinson's disease,Deaths annual % change 2010-2017,"0,021429899",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Epilepsy,Percent of total deaths 2017,"0,002327879",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Epilepsy,Deaths annual % change 2010-2017,"-0,012179813",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Multiple sclerosis,Percent of total deaths 2017,"0,000369203",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Multiple sclerosis,Deaths annual % change 2010-2017,"0,003018483",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Motor neuron disease,Percent of total deaths 2017,"0,000608960",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Motor neuron disease,Deaths annual % change 2010-2017,"0,017184043",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Other neurological disorders,Percent of total deaths 2017,"0,000964270",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Other neurological disorders,Deaths annual % change 2010-2017,"0,008422505",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Schizophrenia,Percent of total deaths 2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Schizophrenia,Deaths annual % change 2010-2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Alcohol use disorders,Percent of total deaths 2017,"0,003305613",Enfermedades Crónicas
Global,All ages,Both,Alcohol use disorders,Deaths annual % change 2010-2017,"-0,030986910",Enfermedades Crónicas
Global,All ages,Both,Drug use disorders,Percent of total deaths 2017,"0,002978130",Enfermedades Crónicas
Global,All ages,Both,Drug use disorders,Deaths annual % change 2010-2017,"0,010682146",Enfermedades Crónicas
Global,All ages,Both,Depressive disorders,Percent of total deaths 2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Depressive disorders,Deaths annual % change 2010-2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Bipolar disorder,Percent of total deaths 2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Bipolar disorder,Deaths annual % change 2010-2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Anxiety disorders,Percent of total deaths 2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Anxiety disorders,Deaths annual % change 2010-2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Eating disorders,Percent of total deaths 2017,"5,835628320e-06",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Eating disorders,Deaths annual % change 2010-2017,"0,005354904",Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Autism spectrum disorders,Percent of total deaths 2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Autism spectrum disorders,Deaths annual % change 2010-2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Attention-deficit/hyperactivity disorder,Percent of total deaths 2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Attention-deficit/hyperactivity disorder,Deaths annual % change 2010-2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Conduct disorder,Percent of total deaths 2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Conduct disorder,Deaths annual % change 2010-2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Idiopathic developmental intellectual disability,Percent of total deaths 2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Idiopathic developmental intellectual disability,Deaths annual % change 2010-2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Other mental disorders,Percent of total deaths 2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Other mental disorders,Deaths annual % change 2010-2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Diabetes mellitus,Percent of total deaths 2017,"0,024485445",Enfermedades Crónicas
Global,All ages,Both,Diabetes mellitus,Deaths annual % change 2010-2017,"0,009020930",Enfermedades Crónicas
Global,All ages,Both,Acute glomerulonephritis,Percent of total deaths 2017,"0,000199880",Enfermedades Crónicas
Global,All ages,Both,Acute glomerulonephritis,Deaths annual % change 2010-2017,"-0,009642420",Enfermedades Crónicas
Global,All ages,Both,Chronic kidney disease,Percent of total deaths 2017,"0,021988669",Enfermedades Crónicas
Global,All ages,Both,Chronic kidney disease,Deaths annual % change 2010-2017,"0,017414779",Enfermedades Crónicas
Global,All ages,Both,Urinary diseases and male infertility,Percent of total deaths 2017,"0,004847418",Enfermedades Crónicas
Global,All ages,Both,Urinary diseases and male infertility,Deaths annual % change 2010-2017,"0,016999724",Enfermedades Crónicas
Global,All ages,Both,Gynecological diseases,Percent of total deaths 2017,"0,000145831",Enfermedades Crónicas
Global,All ages,Both,Gynecological diseases,Deaths annual % change 2010-2017,"0,000903122",Enfermedades Crónicas
Global,All ages,Both,Hemoglobinopathies and hemolytic anemias,Percent of total deaths 2017,"0,001869120",Enfermedades Crónicas
Global,All ages,Both,Hemoglobinopathies and hemolytic anemias,Deaths annual % change 2010-2017,"-0,009907632",Enfermedades Crónicas
Global,All ages,Both,"Endocrine, metabolic, blood, and immune disorders",Percent of total deaths 2017,"0,002583442",Enfermedades Endocrinas y Metabólicas
Global,All ages,Both,"Endocrine, metabolic, blood, and immune disorders",Deaths annual % change 2010-2017,"0,014034337",Enfermedades Endocrinas y Metabólicas
Global,All ages,Both,Rheumatoid arthritis,Percent of total deaths 2017,"0,000845003",Enfermedades Crónicas
Global,All ages,Both,Rheumatoid arthritis,Deaths annual % change 2010-2017,"0,006703645",Enfermedades Crónicas
Global,All ages,Both,Osteoarthritis,Percent of total deaths 2017,0,Enfermedades Musculoesqueléticas
Global,All ages,Both,Osteoarthritis,Deaths annual % change 2010-2017,0,Enfermedades Musculoesqueléticas
Global,All ages,Both,Low back pain,Percent of total deaths 2017,0,Enfermedades Musculoesqueléticas
Global,All ages,Both,Low back pain,Deaths annual % change 2010-2017,0,Enfermedades Musculoesqueléticas
Global,All ages,Both,Neck pain,Percent of total deaths 2017,0,Enfermedades Musculoesqueléticas
Global,All ages,Both,Neck pain,Deaths annual % change 2010-2017,0,Enfermedades Musculoesqueléticas
Global,All ages,Both,Gout,Percent of total deaths 2017,0,Enfermedades Endocrinas y Metabólicas
Global,All ages,Both,Gout,Deaths annual % change 2010-2017,0,Enfermedades Endocrinas y Metabólicas
Global,All ages,Both,Other musculoskeletal disorders,Percent of total deaths 2017,"0,001322623",Enfermedades Musculoesqueléticas
Global,All ages,Both,Other musculoskeletal disorders,Deaths annual % change 2010-2017,"0,012956326",Enfermedades Musculoesqueléticas
Global,All ages,Both,Congenital birth defects,Percent of total deaths 2017,"0,010454063",Enfermedades Genéticas y Congénitas
Global,All ages,Both,Congenital birth defects,Deaths annual % change 2010-2017,"-0,025542925",Enfermedades Genéticas y Congénitas
Global,All ages,Both,Dermatitis,Percent of total deaths 2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Dermatitis,Deaths annual % change 2010-2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Psoriasis,Percent of total deaths 2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Psoriasis,Deaths annual % change 2010-2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Scabies,Percent of total deaths 2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Scabies,Deaths annual % change 2010-2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Fungal skin diseases,Percent of total deaths 2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Fungal skin diseases,Deaths annual % change 2010-2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Viral skin diseases,Percent of total deaths 2017,0,Enfermedades Dermatológicas
